position=<-41963,  42188> velocity=< 4, -4>
position=< 42238,  42189> velocity=<-4, -4>
position=< 31681, -41980> velocity=<-3,  4>
position=<-41974, -52498> velocity=< 4,  5>
position=<-31445,  52717> velocity=< 3, -5>
position=<-52453,  10628> velocity=< 5, -1>
position=<-10384,  52713> velocity=< 1, -5>
position=<-10394,  31670> velocity=< 1, -3>
position=< 42235,  42193> velocity=<-4, -4>
position=< 42236,  31670> velocity=<-4, -3>
position=<-41982,  21154> velocity=< 4, -2>
position=< 42234,  21151> velocity=<-4, -2>
position=< 52743, -31457> velocity=<-5,  3>
position=<-20908, -52500> velocity=< 2,  5>
position=< 10633, -10417> velocity=<-1,  1>
position=< 10624,  10627> velocity=<-1, -1>
position=< 31683, -31459> velocity=<-3,  3>
position=<-31453,  10627> velocity=< 3, -1>
position=< 10682, -52492> velocity=<-1,  5>
position=<-10408, -10413> velocity=< 1,  1>
position=<-41946, -41977> velocity=< 4,  4>
position=< 31706, -31452> velocity=<-3,  3>
position=<-52487,  10634> velocity=< 5, -1>
position=<-10371, -20932> velocity=< 1,  2>
position=< 42222,  31673> velocity=<-4, -3>
position=<-10402, -31459> velocity=< 1,  3>
position=< 10633, -20934> velocity=<-1,  2>
position=<-10377, -41975> velocity=< 1,  4>
position=<-52454,  42192> velocity=< 5, -4>
position=< 42214, -41973> velocity=<-4,  4>
position=<-52447,  21148> velocity=< 5, -2>
position=<-31451, -20934> velocity=< 3,  2>
position=< 42231, -52493> velocity=<-4,  5>
position=<-10368, -10415> velocity=< 1,  1>
position=< 10656, -31453> velocity=<-1,  3>
position=< 10635,  10625> velocity=<-1, -1>
position=<-10387, -52501> velocity=< 1,  5>
position=< 42234, -41976> velocity=<-4,  4>
position=<-52466,  10633> velocity=< 5, -1>
position=< 52760,  31667> velocity=<-5, -3>
position=<-10410,  31667> velocity=< 1, -3>
position=<-52469,  21150> velocity=< 5, -2>
position=<-52501, -10412> velocity=< 5,  1>
position=< 21152, -31450> velocity=<-2,  3>
position=<-20938, -10412> velocity=< 2,  1>
position=<-31420,  10627> velocity=< 3, -1>
position=<-31416, -41980> velocity=< 3,  4>
position=< 10671, -10409> velocity=<-1,  1>
position=< 31666, -10411> velocity=<-3,  1>
position=<-31435, -31454> velocity=< 3,  3>
position=< 42218,  10626> velocity=<-4, -1>
position=< 10627, -10415> velocity=<-1,  1>
position=< 31701,  21149> velocity=<-3, -2>
position=< 21149,  31676> velocity=<-2, -3>
position=<-31437,  52709> velocity=< 3, -5>
position=< 42242, -31452> velocity=<-4,  3>
position=<-41956,  10630> velocity=< 4, -1>
position=<-20907,  31669> velocity=< 2, -3>
position=<-20936, -20932> velocity=< 2,  2>
position=<-31441, -41976> velocity=< 3,  4>
position=<-20892, -41976> velocity=< 2,  4>
position=< 42215,  42196> velocity=<-4, -4>
position=<-31432, -52500> velocity=< 3,  5>
position=<-52476, -20934> velocity=< 5,  2>
position=< 21169,  52715> velocity=<-2, -5>
position=<-31445,  10632> velocity=< 3, -1>
position=< 21189,  52709> velocity=<-2, -5>
position=< 42214, -52499> velocity=<-4,  5>
position=<-20895, -41971> velocity=< 2,  4>
position=< 21170,  21151> velocity=<-2, -2>
position=<-52490,  52711> velocity=< 5, -5>
position=<-41966,  10626> velocity=< 4, -1>
position=< 52727,  42188> velocity=<-5, -4>
position=< 10657,  31672> velocity=<-1, -3>
position=< 21162,  21150> velocity=<-2, -2>
position=< 52744,  10626> velocity=<-5, -1>
position=<-31436,  42195> velocity=< 3, -4>
position=<-31457,  31674> velocity=< 3, -3>
position=< 10631, -41973> velocity=<-1,  4>
position=< 21147,  42193> velocity=<-2, -4>
position=< 52707, -52501> velocity=<-5,  5>
position=< 10623, -52492> velocity=<-1,  5>
position=<-41974, -20935> velocity=< 4,  2>
position=<-41934,  10633> velocity=< 4, -1>
position=< 21152, -31450> velocity=<-2,  3>
position=< 21188,  31670> velocity=<-2, -3>
position=<-52455,  52711> velocity=< 5, -5>
position=<-20892,  21147> velocity=< 2, -2>
position=<-20924,  31673> velocity=< 2, -3>
position=< 31665,  31668> velocity=<-3, -3>
position=< 52720, -41979> velocity=<-5,  4>
position=<-20905,  21151> velocity=< 2, -2>
position=< 42226,  31667> velocity=<-4, -3>
position=< 42221, -20933> velocity=<-4,  2>
position=< 31717, -20937> velocity=<-3,  2>
position=< 52708,  42194> velocity=<-5, -4>
position=<-52442, -10408> velocity=< 5,  1>
position=<-41942,  31668> velocity=< 4, -3>
position=< 21156,  52709> velocity=<-2, -5>
position=<-20932, -52499> velocity=< 2,  5>
position=<-41977, -10408> velocity=< 4,  1>
position=<-10371,  52713> velocity=< 1, -5>
position=<-20884, -10416> velocity=< 2,  1>
position=<-20915, -31456> velocity=< 2,  3>
position=<-31421, -31450> velocity=< 3,  3>
position=<-31419,  42192> velocity=< 3, -4>
position=<-10367, -31458> velocity=< 1,  3>
position=<-10410, -10417> velocity=< 1,  1>
position=< 31716, -10415> velocity=<-3,  1>
position=<-52479,  52717> velocity=< 5, -5>
position=< 10647,  52718> velocity=<-1, -5>
position=<-52471, -31450> velocity=< 5,  3>
position=< 42210,  52710> velocity=<-4, -5>
position=<-52453,  31673> velocity=< 5, -3>
position=< 42234, -10410> velocity=<-4,  1>
position=<-52459, -10411> velocity=< 5,  1>
position=<-52477, -31455> velocity=< 5,  3>
position=< 52726,  31671> velocity=<-5, -3>
position=< 21155, -10417> velocity=<-2,  1>
position=< 31689, -52492> velocity=<-3,  5>
position=<-41966, -41976> velocity=< 4,  4>
position=<-20921, -31459> velocity=< 2,  3>
position=< 31670,  52710> velocity=<-3, -5>
position=<-10363, -41977> velocity=< 1,  4>
position=<-20935,  10633> velocity=< 2, -1>
position=< 31721,  52709> velocity=<-3, -5>
position=<-10386, -52495> velocity=< 1,  5>
position=<-10359, -10408> velocity=< 1,  1>
position=< 42202,  10625> velocity=<-4, -1>
position=<-52455, -20933> velocity=< 5,  2>
position=< 52711,  31670> velocity=<-5, -3>
position=<-10363, -20933> velocity=< 1,  2>
position=< 21192, -20932> velocity=<-2,  2>
position=< 31702, -31451> velocity=<-3,  3>
position=<-41966, -20933> velocity=< 4,  2>
position=<-10382, -20937> velocity=< 1,  2>
position=< 42227, -52494> velocity=<-4,  5>
position=< 31713,  10627> velocity=<-3, -1>
position=< 42194, -10413> velocity=<-4,  1>
position=< 21146,  42193> velocity=<-2, -4>
position=<-20889, -41973> velocity=< 2,  4>
position=< 42223,  52718> velocity=<-4, -5>
position=< 10671, -31456> velocity=<-1,  3>
position=< 10668, -20929> velocity=<-1,  2>
position=< 21188, -41977> velocity=<-2,  4>
position=<-41965,  10629> velocity=< 4, -1>
position=<-41957,  31669> velocity=< 4, -3>
position=< 52728, -41980> velocity=<-5,  4>
position=<-10407,  21150> velocity=< 1, -2>
position=<-52463,  42197> velocity=< 5, -4>
position=< 31681,  21150> velocity=<-3, -2>
position=< 31681,  21154> velocity=<-3, -2>
position=< 10652,  21155> velocity=<-1, -2>
position=<-41934,  42191> velocity=< 4, -4>
position=< 10658,  21150> velocity=<-1, -2>
position=< 42202,  52711> velocity=<-4, -5>
position=<-41926, -41971> velocity=< 4,  4>
position=< 52752,  31668> velocity=<-5, -3>
position=<-52470, -20936> velocity=< 5,  2>
position=< 10671, -10412> velocity=<-1,  1>
position=<-52503, -31450> velocity=< 5,  3>
position=< 10623, -41979> velocity=<-1,  4>
position=< 21173,  10633> velocity=<-2, -1>
position=< 10656, -20931> velocity=<-1,  2>
position=<-31451,  42188> velocity=< 3, -4>
position=< 42211, -52498> velocity=<-4,  5>
position=<-20899, -20931> velocity=< 2,  2>
position=< 10647,  21146> velocity=<-1, -2>
position=<-41934, -52492> velocity=< 4,  5>
position=<-10386, -41977> velocity=< 1,  4>
position=< 31670, -52492> velocity=<-3,  5>
position=<-41930, -31451> velocity=< 4,  3>
position=<-10363,  52711> velocity=< 1, -5>
position=< 31689, -10416> velocity=<-3,  1>
position=<-52447, -52501> velocity=< 5,  5>
position=<-41931,  52716> velocity=< 4, -5>
position=<-41934,  42189> velocity=< 4, -4>
position=<-20892, -41977> velocity=< 2,  4>
position=< 52725,  52709> velocity=<-5, -5>
position=< 52720, -10414> velocity=<-5,  1>
position=<-41962, -31459> velocity=< 4,  3>
position=<-20937,  31671> velocity=< 2, -3>
position=< 31669, -10414> velocity=<-3,  1>
position=< 52755, -41979> velocity=<-5,  4>
position=<-41926, -52495> velocity=< 4,  5>
position=< 52744,  42189> velocity=<-5, -4>
position=<-10403,  52717> velocity=< 1, -5>
position=< 31681,  42194> velocity=<-3, -4>
position=<-52471,  42197> velocity=< 5, -4>
position=<-10390, -52501> velocity=< 1,  5>
position=< 21185,  21149> velocity=<-2, -2>
position=< 10651, -41978> velocity=<-1,  4>
position=<-20884,  42189> velocity=< 2, -4>
position=< 10676,  21146> velocity=<-1, -2>
position=<-31453, -20930> velocity=< 3,  2>
position=< 42214,  21153> velocity=<-4, -2>
position=< 21152,  31674> velocity=<-2, -3>
position=<-52487, -52496> velocity=< 5,  5>
position=< 52739,  42189> velocity=<-5, -4>
position=< 52717,  42188> velocity=<-5, -4>
position=< 10679,  21146> velocity=<-1, -2>
position=< 31686, -10417> velocity=<-3,  1>
position=<-31405, -10408> velocity=< 3,  1>
position=< 42234,  42195> velocity=<-4, -4>
position=< 31715, -31453> velocity=<-3,  3>
position=<-31453,  42190> velocity=< 3, -4>
position=< 42229,  10630> velocity=<-4, -1>
position=< 42191,  10626> velocity=<-4, -1>
position=<-31432, -20929> velocity=< 3,  2>
position=<-20884,  10626> velocity=< 2, -1>
position=<-52470, -41978> velocity=< 5,  4>
position=< 52766, -41971> velocity=<-5,  4>
position=<-31429,  52717> velocity=< 3, -5>
position=<-41921,  31676> velocity=< 4, -3>
position=<-31424,  21146> velocity=< 3, -2>
position=< 10650, -20933> velocity=<-1,  2>
position=<-31434, -52496> velocity=< 3,  5>
position=< 21194, -41974> velocity=<-2,  4>
position=< 21147,  42192> velocity=<-2, -4>

